,household_key,revenue,recency,frequency,recency_cluster,frequency_cluster,revenue_cluster,rfm_score,segment,received_campA_18,redeemed_campA_18,GROCERY_spend,DELI_spend,PRODUCE_spend,KIOSK-GAS_spend,DRUG GM_spend,MEAT_spend
148,1785,310.74,1,13,3,1,1,5,Mid-value,0,0,188.34999999999994,8.74,29.119999999999997,,53.17999999999999,
149,300,295.56,2,12,3,1,1,5,Mid-value,1,0,208.10999999999993,,1.9100000000000001,,24.689999999999998,32.67
150,2499,336.53000000000014,1,10,3,1,1,5,Mid-value,1,0,196.79000000000002,10.99,7.61,,43.150000000000006,
151,1293,338.30999999999995,2,17,3,1,1,5,Mid-value,1,0,210.57999999999996,,21.980000000000004,,9.75,44.92
152,2034,408.9600000000002,2,16,3,1,1,5,Mid-value,1,0,224.9,,57.300000000000004,33.3,13.9,24.99
153,443,277.17,0,10,3,1,1,5,Mid-value,1,0,212.90999999999997,,13.47,,14.05,7.85
154,1113,268.1499999999999,0,16,3,1,1,5,Mid-value,1,0,194.68999999999997,,42.800000000000004,,11.33,9.55
155,138,404.3100000000001,2,11,3,1,1,5,Mid-value,0,0,249.46999999999994,17.0,63.65000000000001,,10.25,7.98
156,2015,586.7600000000002,1,10,3,1,1,5,Mid-value,0,0,297.25000000000006,,24.220000000000006,,97.80999999999999,95.24999999999999
157,2376,522.5500000000002,3,21,3,1,1,5,Mid-value,1,0,216.80999999999997,,24.37,69.13,63.61,41.489999999999995
158,2275,536.8600000000002,2,17,3,1,1,5,Mid-value,1,0,326.22000000000014,,23.340000000000003,,70.64,80.55000000000003
159,1976,285.81000000000006,2,12,3,1,1,5,Mid-value,1,0,194.65000000000006,3.59,,,30.5,35.62
160,232,587.7300000000001,0,20,3,1,1,5,Mid-value,1,0,305.2100000000001,3.99,2.22,139.0,77.03,9.62
161,779,419.96000000000004,1,11,3,1,1,5,Mid-value,0,0,222.63000000000008,11.98,41.89000000000001,,13.66,19.62
162,1602,491.15000000000043,0,13,3,1,1,5,Mid-value,1,1,260.7999999999999,10.14,59.96000000000001,,64.22,32.260000000000005
163,1282,490.02000000000015,0,18,3,1,1,5,Mid-value,1,0,237.35000000000005,,48.5,,27.069999999999993,107.00999999999999
164,434,346.19000000000005,1,11,3,1,1,5,Mid-value,1,0,185.2599999999999,,7.2,,29.450000000000003,55.06
165,2109,322.7000000000001,1,15,3,1,1,5,Mid-value,1,0,174.77999999999997,6.91,10.48,,35.11000000000001,24.17
166,1896,353.0500000000001,4,15,3,1,1,5,Mid-value,1,0,158.67999999999992,15.400000000000002,38.19,,87.25,16.2
167,2446,459.7500000000001,2,16,3,1,1,5,Mid-value,1,0,152.92999999999995,35.64,44.06,,28.840000000000003,
168,276,489.6700000000002,2,14,3,1,1,5,Mid-value,1,0,169.9,23.97,23.289999999999996,52.78,59.66000000000001,84.89
169,1354,380.3500000000001,1,11,3,1,1,5,Mid-value,1,0,209.48,36.97,7.51,32.71,59.980000000000004,5.39
170,1962,429.11999999999995,5,16,3,1,1,5,Mid-value,0,0,203.91,8.06,41.25,31.5,12.260000000000002,55.37
171,1517,565.1300000000002,0,12,3,1,1,5,Mid-value,1,0,402.56000000000006,29.92,22.74,,48.309999999999995,15.88
172,1285,546.9300000000004,3,12,3,1,1,5,Mid-value,1,0,321.0400000000002,8.57,29.919999999999995,,47.43000000000001,94.14999999999998
173,1406,521.68,5,21,3,1,1,5,Mid-value,1,0,340.5099999999999,58.24999999999999,15.629999999999999,,56.660000000000004,18.97
174,2153,355.40000000000015,5,10,3,1,1,5,Mid-value,0,0,205.91,8.99,10.93,20.0,22.06,19.68
175,285,496.54000000000013,1,17,3,1,1,5,Mid-value,1,0,238.6099999999999,,11.790000000000001,,7.74,134.36
176,692,469.9800000000001,1,15,3,1,1,5,Mid-value,1,1,212.16999999999996,8.26,52.099999999999994,72.21000000000001,58.25,14.799999999999999
177,929,514.8999999999997,0,17,3,1,1,5,Mid-value,1,1,263.3000000000001,16.97,14.88,90.88,20.719999999999995,62.059999999999995
