household_key,received_campaign,redeemed_coupons,total_campaigns_received,TypeA,TypeB,TypeC,total_campaigns_engaged,total_coupons_received,total_coupons_redeemed,camp_conversion_rate,coupon_conversion_rate,revenue,recency,frequency,GROCERY_spend,DELI_spend,PRODUCE_spend,KIOSK-GAS_spend,DRUG GM_spend,NUTRITION_spend,SALAD BAR_spend,MEAT_spend,recency_cluster,frequency_cluster,revenue_cluster,rfm_score,segment,age_desc,marital_status_code,income_desc,homeowner_desc,hh_comp_desc,household_size_desc,kid_category_desc
2146,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1692.5400000000025,17,58,1256.1000000000024,19.43,14.96,0.0,217.8700000000001,0.0,0.0,61.39,3,0,0,3,Low-value,,,,,,,
2147,1,1,4.0,3.0,1.0,0.0,9.0,63.0,9.0,2.25,0.14,5706.009999999955,1,96,2884.7799999999966,308.81000000000006,979.6099999999999,256.11,244.80000000000004,145.68000000000004,0.0,457.4700000000001,3,0,2,5,Mid-value,25-34,A,75-99K,Homeowner,2 Adults Kids,3,1
2148,1,1,5.0,5.0,0.0,0.0,2.0,80.0,2.0,0.4,0.02,3263.9199999999905,0,124,1950.4500000000028,251.84000000000006,238.93,24.8,134.65,0.0,10.370000000000001,270.37000000000006,3,1,1,5,Mid-value,55-64,A,35-49K,Homeowner,2 Adults Kids,4,2
2149,1,0,4.0,2.0,2.0,0.0,0.0,54.0,0.0,0.0,0.0,3703.419999999988,9,112,701.92,1.0,278.8100000000001,299.2,1056.66,0.0,0.0,332.46999999999997,3,1,1,5,Mid-value,,,,,,,
2150,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.32,120,8,24.66,0.0,1.77,0.0,31.66,0.0,0.0,4.26,2,0,0,2,Low-value,,,,,,,
2151,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.2700000000008,12,41,416.89000000000004,30.980000000000004,67.17999999999999,0.0,56.39000000000001,0.0,0.0,109.41,3,0,0,3,Low-value,,,,,,,
2152,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.54999999999995,84,25,94.19999999999999,4.04,18.470000000000002,25.57,1.99,5.0,0.0,0.0,2,0,0,2,Low-value,,,,,,,
2153,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933.4300000000001,17,41,575.31,8.99,26.779999999999994,20.0,120.14,0.0,4.62,44.09,3,0,0,3,Low-value,,,,,,,
2154,1,0,3.0,2.0,1.0,0.0,0.0,45.0,0.0,0.0,0.0,2523.339999999994,2,120,1198.0800000000008,36.18000000000001,476.26000000000033,180.60999999999999,148.71000000000004,18.25,10.09,51.830000000000005,3,1,1,5,Mid-value,45-54,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
2155,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.83,41,11,174.96000000000004,3.8899999999999997,30.530000000000005,0.0,8.76,0.0,0.0,40.39000000000001,3,0,0,3,Low-value,,,,,,,
